SRR2926573	MYBrelated_tnt.At1g19000_col_a
SRR2926572	MYBrelated_tnt.At1g19000_colamp_a
SRR2926571	MYBrelated_tnt.AT5G61620_col_a
SRR2926570	MYBrelated_tnt.AT5G61620_colamp_a
SRR2926569	MYBrelated_tnt.AT5G56840_col_a
SRR2926568	MYBrelated_tnt.AT5G56840_colamp_a
SRR2926567	MYBrelated_tnt.AT4G12670_col_a
SRR2926566	MYBrelated_tnt.AT4G12670_colamp_a
SRR2926565	MYBrelated_tnt.AT3G10580_col_a
SRR2926564	MYBrelated_tnt.AT3G10580_colamp_a
SRR2926563	MYBrelated_tnt.AT3G10113_col_a
SRR2926562	MYBrelated_tnt.AT1G72740_col_a
SRR2926561	MYBrelated_tnt.AT1G72740_colamp_a
SRR2926560	MYBrelated_tnt.AT1G18960_col_a
SRR2926559	MYB_tnt.MYB99_col_a
SRR2926558	MYB_tnt.MYB99_colamp_a
SRR2926557	MYB_tnt.MYB98_col_a
SRR2926556	MYB_tnt.MYB96_col_b
SRR2926555	MYB_tnt.MYB96_colamp_a
SRR2926554	MYB_tnt.MYB94_col_b
SRR2926553	MYB_tnt.MYB93_col_a
SRR2926552	MYB_tnt.MYB93_colamp_a
SRR2926551	MYB_tnt.MYB92_colamp_a
SRR2926550	MYB_tnt.MYB92_100ng20cy_b
SRR2926549	MYB_tnt.MYB88_col_a
SRR2926548	MYB_tnt.MYB88_colamp_a
SRR2926547	MYB_tnt.MYB83_col_a
SRR2926546	MYB_tnt.MYB83_colamp_a
SRR2926545	MYB_tnt.MYB81_col_a
SRR2926544	MYB_tnt.MYB81_colamp_a
SRR2926543	MYB_tnt.MYB77_col_a
SRR2926542	MYB_tnt.MYB77_colamp_a
SRR2926541	MYB_tnt.MYB74_colamp_a
SRR2926540	MYB_tnt.MYB73_col_a
SRR2926539	MYB_tnt.MYB70_col_a
SRR2926538	MYB_tnt.MYB67_col_a
SRR2926537	MYB_tnt.MYB65_colamp_a
SRR2926536	MYB_tnt.MYB65_col200_a
SRR2926535	MYB_tnt.MYB63_col_a
SRR2926534	MYB_tnt.MYB62_col_a
SRR2926533	MYB_tnt.MYB62_colamp_a
SRR2926532	MYB_tnt.MYB61_col_a
SRR2926531	MYB_tnt.MYB61_colamp_a
SRR2926530	MYB_tnt.MYB58_col_a
SRR2926529	MYB_tnt.MYB58_colamp_a
SRR2926528	MYB_tnt.MYB57_col_a
SRR2926527	MYB_tnt.MYB57_colamp_a
SRR2926526	MYB_tnt.MYB56_col_a
SRR2926525	MYB_tnt.MYB56_colamp_a
SRR2926524	MYB_tnt.MYB55_colamp_a
SRR2926523	MYB_tnt.MYB52_col_a
SRR2926522	MYB_tnt.MYB51_col_a
SRR2926521	MYB_tnt.MYB49_col_a
SRR2926520	MYB_tnt.MYB49_colamp_a
SRR2926519	MYB_tnt.MYB44_colamp_a
SRR2926518	MYB_tnt.MYB43_col_a
SRR2926517	MYB_tnt.MYB41_col_a
SRR2926516	MYB_tnt.MYB40_col_a
SRR2926515	MYB_tnt.MYB4_col200_a
SRR2926514	MYB_tnt.MYB3R5_col_a
SRR2926513	MYB_tnt.MYB3R4_col_a
SRR2926512	MYB_tnt.MYB3R1_col_a
SRR2926511	MYB_tnt.MYB3R1_colamp_a
SRR2926510	MYB_tnt.MYB39_col_a
SRR2926509	MYB_tnt.MYB39_colamp_a
SRR2926508	MYB_tnt.MYB33_col_a
SRR2926507	MYB_tnt.MYB30_col_a
SRR2926506	MYB_tnt.MYB30_colamp_a
SRR2926505	MYB_tnt.MYB27_col_a
SRR2926504	MYB_tnt.MYB27_colamp_a
SRR2926503	MYB_tnt.MYB23_col_a
SRR2926502	MYB_tnt.MYB17_colamp_a
SRR2926501	MYB_tnt.MYB13_col_a
SRR2926500	MYB_tnt.MYB13_colamp_a
SRR2926499	MYB_tnt.MYB121_col_a
SRR2926498	MYB_tnt.MYB119_col_a
SRR2926497	MYB_tnt.MYB119_colamp_a
SRR2926496	MYB_tnt.MYB118_col_a
SRR2926495	MYB_tnt.MYB118_colamp_a
SRR2926494	MYB_tnt.MYB116_col_a
SRR2926493	MYB_tnt.MYB116_colamp_a
SRR2926492	MYB_tnt.MYB113_col_a
SRR2926491	MYB_tnt.MYB107_col_a
SRR2926490	MYB_tnt.MYB107_colamp_a
SRR2926489	MYB_tnt.MYB105_col_a
SRR2926488	MYB_tnt.MYB105_colamp_a
SRR2926487	MYB_tnt.MYB101_col_a
SRR2926486	MYB_tnt.MYB101_colamp_a
SRR2926485	MYB_tnt.MYB10_col_a
SRR2926484	MYB_tnt.MYB10_colamp_a
SRR2926483	MYB_tnt.MYB1_col_a
SRR2926482	MYB_tnt.MS188_col_a
SRR2926481	MYB_tnt.MS188_colamp_a
SRR2926480	MYB_tnt.BOS1_col_a
SRR2926479	MYB_tnt.ATY19_col_a
SRR2926478	MYB_tnt.ATY13_col_a
SRR2926477	MYB_tnt.ATY13_colamp_a
SRR2926476	MADS_tnt.SVP_col_v3b
SRR2926475	MADS_tnt.SVP_colamp_v3b
SRR2926474	MADS_tnt.FEM111_col_a
